ytid,status,path,duration_s,error
YpOHemscGCk,missing,,,"ERROR: [youtube] YpOHemscGCk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Ypuv3htJlpg,missing,,,"ERROR: [youtube] Ypuv3htJlpg: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YqAsph_ouRM,missing,,,"ERROR: [youtube] YqAsph_ouRM: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YqZNMFyPJOQ,missing,,,"ERROR: [youtube] YqZNMFyPJOQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YrGQKTbiG1g,missing,,,"ERROR: [youtube] YrGQKTbiG1g: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Ysrlv2UlG8A,missing,,,"ERROR: [youtube] Ysrlv2UlG8A: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Yt1czlnCUCg,missing,,,"ERROR: [youtube] Yt1czlnCUCg: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YtYjdkTK5oY,missing,,,"ERROR: [youtube] YtYjdkTK5oY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YuiQRYaF9SA,missing,,,"ERROR: [youtube] YuiQRYaF9SA: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YvFY7xU2kGk,missing,,,"ERROR: [youtube] YvFY7xU2kGk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YvT7qFbUOO0,missing,,,"ERROR: [youtube] YvT7qFbUOO0: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Yw28B_xflHk,missing,,,"ERROR: [youtube] Yw28B_xflHk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YwUa3OS92ZQ,missing,,,"ERROR: [youtube] YwUa3OS92ZQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YxQzJweGS2c,missing,,,"ERROR: [youtube] YxQzJweGS2c: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YxkYVsE0UdQ,missing,,,"ERROR: [youtube] YxkYVsE0UdQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YyHmz1vcob8,missing,,,"ERROR: [youtube] YyHmz1vcob8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YyYEzAY2e2I,missing,,,"ERROR: [youtube] YyYEzAY2e2I: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YyZ5bXcMDv4,missing,,,"ERROR: [youtube] YyZ5bXcMDv4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Yz1DrC54UGk,missing,,,"ERROR: [youtube] Yz1DrC54UGk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
YzpzKyzyL0Y,missing,,,"ERROR: [youtube] YzpzKyzyL0Y: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z-G7nL9tiws,missing,,,"ERROR: [youtube] Z-G7nL9tiws: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z-Vb1Ay-zNA,missing,,,"ERROR: [youtube] Z-Vb1Ay-zNA: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z0OTDXtjK9M,missing,,,"ERROR: [youtube] Z0OTDXtjK9M: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z0O2r0Dl2T4,missing,,,"ERROR: [youtube] Z0O2r0Dl2T4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z0htOHTOtHY,missing,,,"ERROR: [youtube] Z0htOHTOtHY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z19W44ZI15Q,missing,,,"ERROR: [youtube] Z19W44ZI15Q: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z2c1npe5AYY,missing,,,"ERROR: [youtube] Z2c1npe5AYY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z31gI08SMzI,missing,,,"ERROR: [youtube] Z31gI08SMzI: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z5x5BLzQKZI,missing,,,"ERROR: [youtube] Z5x5BLzQKZI: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z6q5doznOcI,missing,,,"ERROR: [youtube] Z6q5doznOcI: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z7V7Curou7s,missing,,,"ERROR: [youtube] Z7V7Curou7s: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z8L3jychP14,missing,,,"ERROR: [youtube] Z8L3jychP14: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
Z9hnLYpypCU,missing,,,"ERROR: [youtube] Z9hnLYpypCU: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZAT2_-x59pY,missing,,,"ERROR: [youtube] ZAT2_-x59pY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZCR7qJ2IgGI,missing,,,"ERROR: [youtube] ZCR7qJ2IgGI: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZCKzgf3QD4M,missing,,,"ERROR: [youtube] ZCKzgf3QD4M: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZE0f_S44O7M,missing,,,"ERROR: [youtube] ZE0f_S44O7M: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZEN8_GtW_UQ,missing,,,"ERROR: [youtube] ZEN8_GtW_UQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZF8uHVu4Res,missing,,,"ERROR: [youtube] ZF8uHVu4Res: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZEuY5HnECuo,missing,,,"ERROR: [youtube] ZEuY5HnECuo: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZFG9jHrLtBE,missing,,,"ERROR: [youtube] ZFG9jHrLtBE: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZFg6KpT5ehU,missing,,,"ERROR: [youtube] ZFg6KpT5ehU: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZGfGiVauGL4,missing,,,"ERROR: [youtube] ZGfGiVauGL4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZFimyfPWltk,missing,,,"ERROR: [youtube] ZFimyfPWltk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZH8VGGvZBok,missing,,,"ERROR: [youtube] ZH8VGGvZBok: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZHsAU90h8oc,missing,,,"ERROR: [youtube] ZHsAU90h8oc: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZJHlHb-VyDc,missing,,,"ERROR: [youtube] ZJHlHb-VyDc: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZHzhdhKEjMc,missing,,,"ERROR: [youtube] ZHzhdhKEjMc: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZJZxWLYzNh8,missing,,,"ERROR: [youtube] ZJZxWLYzNh8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZK3bYlekfm0,missing,,,"ERROR: [youtube] ZK3bYlekfm0: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZK5M3DZejzk,missing,,,"ERROR: [youtube] ZK5M3DZejzk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZKkfCOqLrT0,missing,,,"ERROR: [youtube] ZKkfCOqLrT0: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZLDQ8-8AyI4,missing,,,"ERROR: [youtube] ZLDQ8-8AyI4: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZLXW4ewrVpQ,missing,,,"ERROR: [youtube] ZLXW4ewrVpQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZLxhZcS3Ppw,missing,,,"ERROR: [youtube] ZLxhZcS3Ppw: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZM0imDMXuw8,missing,,,"ERROR: [youtube] ZM0imDMXuw8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZMd8mAKe-k8,missing,,,"ERROR: [youtube] ZMd8mAKe-k8: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZNGJN30LCwM,missing,,,"ERROR: [youtube] ZNGJN30LCwM: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZOGMpGQQ3FI,missing,,,"ERROR: [youtube] ZOGMpGQQ3FI: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZNGvyFsCx4g,missing,,,"ERROR: [youtube] ZNGvyFsCx4g: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZOKQFjrfbpw,missing,,,"ERROR: [youtube] ZOKQFjrfbpw: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZOzavOPeuJQ,missing,,,"ERROR: [youtube] ZOzavOPeuJQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZPK1hSPI540,missing,,,"ERROR: [youtube] ZPK1hSPI540: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZQwpXl8qnnk,missing,,,"ERROR: [youtube] ZQwpXl8qnnk: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZSHm7FdyxpQ,missing,,,"ERROR: [youtube] ZSHm7FdyxpQ: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZSGRzalgx4s,missing,,,"ERROR: [youtube] ZSGRzalgx4s: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZTVMsW1h3bI,missing,,,"ERROR: [youtube] ZTVMsW1h3bI: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZSItez9gTyY,missing,,,"ERROR: [youtube] ZSItez9gTyY: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZU6sI1Plq50,missing,,,"ERROR: [youtube] ZU6sI1Plq50: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZTf9i8y5muo,missing,,,"ERROR: [youtube] ZTf9i8y5muo: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZUcHBeueBww,missing,,,"ERROR: [youtube] ZUcHBeueBww: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZUg7rRpFGvA,missing,,,"ERROR: [youtube] ZUg7rRpFGvA: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZUkh168Nyus,missing,,,"ERROR: [youtube] ZUkh168Nyus: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZVMIk3xYaYo,missing,,,"ERROR: [youtube] ZVMIk3xYaYo: Unable to download API page: HTTPSConnection(host='www.youtube.com', port=443): Failed to resolve 'www.youtube.com' ([Errno 11001] getaddrinfo failed) (caused by Transpor"
ZX7EzqMBjfo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZX7EzqMBjfo_160_170.wav,10.0,
ZVvX2-ldhvY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZVvX2-ldhvY_30_40.wav,10.0,
ZV_ZbmjPpkw,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZV_ZbmjPpkw_30_40.wav,10.0,
ZX2fVPmUidA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZX2fVPmUidA_30_40.wav,10.0,
ZYUAY6EN05Q,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZYUAY6EN05Q_30_40.wav,10.0,
ZZrvO__SNtA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZZrvO__SNtA_130_140.wav,10.0,
Z_0Ta-m_-hU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Z_0Ta-m_-hU_110_120.wav,10.0,
Z_HT-d8W1_M,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Z_HT-d8W1_M_30_40.wav,10.0,
ZaUaqnLdg6k,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZaUaqnLdg6k_30_40.wav,10.0,
ZahBai58_Ec,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZahBai58_Ec_330_340.wav,10.0,
ZbdmiykoJm8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZbdmiykoJm8_70_80.wav,10.0,
Zbmm_hXcrA0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zbmm_hXcrA0_160_170.wav,10.0,
Zc4rX7nbRW4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zc4rX7nbRW4_190_200.wav,10.0,
ZfR3_QJF8f4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZfR3_QJF8f4_30_40.wav,10.0,
ZdqPnWEANuI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZdqPnWEANuI_310_320.wav,10.0,
ZfSlWX1C8yY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZfSlWX1C8yY_30_40.wav,10.0,
ZgooDijn2as,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZgooDijn2as_30_40.wav,10.0,
ZgcZPBUKxd8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZgcZPBUKxd8_30_40.wav,10.0,
ZhafwFYgltI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZhafwFYgltI_60_70.wav,10.0,
ZiHlhUvmgzQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZiHlhUvmgzQ_30_40.wav,10.0,
ZkGQhIbEDrs,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZkGQhIbEDrs_30_40.wav,10.0,
ZkfKOLp5SxU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZkfKOLp5SxU_130_140.wav,10.0,
ZkmtfBzpQlI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZkmtfBzpQlI_20_30.wav,10.0,
ZleHXDirD58,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZleHXDirD58_80_90.wav,10.0,
Zlbo8ygfPSM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zlbo8ygfPSM_30_40.wav,10.0,
ZmgkpmzvL6c,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZmgkpmzvL6c_30_40.wav,10.0,
Zhurw43-Y1g,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zhurw43-Y1g_30_40.wav,10.0,
Zmtw8tP-KFo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zmtw8tP-KFo_330_340.wav,10.0,
ZnBvXFDWpWo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZnBvXFDWpWo_50_60.wav,10.0,
ZoAfkpmztww,missing,,,ERROR: [youtube] ZoAfkpmztww: This video is not available
ZocCGcJcGJE,missing,,,ERROR: [youtube] ZocCGcJcGJE: This video is unavailable
Zo9xROGuV3k,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zo9xROGuV3k_30_40.wav,10.0,
Zs3arUuPciY,missing,,,ERROR: [youtube] Zs3arUuPciY: We're processing this video. Check back later.
Zon9WGTwAME,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zon9WGTwAME_210_220.wav,10.0,
Zq92ED3IvLQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zq92ED3IvLQ_120_130.wav,10.0,
ZqnbgQeeRbM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZqnbgQeeRbM_30_40.wav,10.0,
ZsmfIMEzrQs,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZsmfIMEzrQs_30_40.wav,10.0,
ZsmxO0wnqdQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZsmxO0wnqdQ_30_40.wav,10.0,
Zt8x7tvP9Qs,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zt8x7tvP9Qs_30_40.wav,10.0,
ZtcHktwEfAU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZtcHktwEfAU_0_10.wav,10.0,
Ztlcnd14Kn4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Ztlcnd14Kn4_30_40.wav,10.0,
ZwLfj7tvpdc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZwLfj7tvpdc_110_120.wav,10.0,
ZwfzBagtpV0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZwfzBagtpV0_30_40.wav,10.0,
Zxyfhub6nV4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zxyfhub6nV4_80_90.wav,10.0,
Zy4uiiy0qgA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zy4uiiy0qgA_60_70.wav,10.0,
Zz1Bz1a7yPE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zz1Bz1a7yPE_30_40.wav,10.0,
Zy_YSROQmlE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Zy_YSROQmlE_170_180.wav,10.0,
ZzyWbehtt0M,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ZzyWbehtt0M_30_40.wav,10.0,
_-kssA-FOzU,missing,,,ERROR: [youtube] _-kssA-FOzU: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to
_1woPC5HWSg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_1woPC5HWSg_30_40.wav,10.0,
_0-2meOf9qY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_0-2meOf9qY_10_20.wav,10.0,
_2P_EJsnBls,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_2P_EJsnBls_80_90.wav,10.0,
_2wFjBoreaY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_2wFjBoreaY_90_100.wav,10.0,
_3OlK_1yQOk,missing,,,ERROR: [youtube] _3OlK_1yQOk: Video unavailable
_3GnNMrDuCs,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_3GnNMrDuCs_150_160.wav,10.0,
_43OOP6UEw0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_43OOP6UEw0_30_40.wav,10.0,
_5fwnVeZbvI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_5fwnVeZbvI_80_90.wav,10.0,
_5w5TVK5B90,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_5w5TVK5B90_370_380.wav,10.0,
_8OIugVSFeE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_8OIugVSFeE_100_110.wav,10.0,
_78P-0zWJtg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_78P-0zWJtg_420_430.wav,10.0,
_94ra2KoZGo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_94ra2KoZGo_520_530.wav,10.0,
_ACyiKGpD8Y,missing,,,ERROR: [youtube] _ACyiKGpD8Y: This video is unavailable
_9OUh0uwDec,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_9OUh0uwDec_210_220.wav,10.0,
_ALGXHquYkM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_ALGXHquYkM_30_40.wav,10.0,
_AVegKwklcg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_AVegKwklcg_30_40.wav,10.0,
_DHMdtRRJzE,missing,,,ERROR: [youtube] _DHMdtRRJzE: Private video
_AjXY9cHCxA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_AjXY9cHCxA_150_160.wav,10.0,
_6C2ffY_-mc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_6C2ffY_-mc_30_40.wav,10.0,
_GQnXfIGNKY,missing,,,ERROR: [youtube] _GQnXfIGNKY: Private video
_G3lYKAITu8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_G3lYKAITu8_490_500.wav,10.0,
_GjHL0FkYoY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_GjHL0FkYoY_120_130.wav,10.0,
_GxqvILlmAw,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\_GxqvILlmAw_30_40.wav,10.0,
